#3,Observation,Not an observation,mech/seal leaking pump #3 mini
be inspected a,Observation,Not an observation,pump req repairs:needs to be inspected a
be started by,Observation,Not an observation,can't be started by pcc in remote
bearing,Observation,Not an observation,$$15g3d failed bearing
bearing change,Observation,Not an observation,continue with prt for bearing change
been hy,Observation,Not an observation,bolt up flanges after lines have been hy
been running hot,Observation,Overheating,barrel has been running hot
bellow,Observation,Not an observation,$failed bellow and worn volute
belt,Observation,Not an observation,$pump needs belts replaced   haz (wld) hole in belt gaurd
bent,Observation,Minor in-service problems,dto valve bent and req replacement
bigger,Observation,Not an observation,grind motor bolt holes bigger
black,Observation,Other,black sump hold down shaft bolts loose   black sump burnt belts
blank,Observation,Not an observation,repair blank module in sce sub   electrical install blank module door
blank off,Observation,Not an observation,blank off pipe so we can sign off permit
blew off,Observation,Minor in-service problems,haz pipe blew off valve while sampling
blew off top of,Observation,Minor in-service problems,haz envgauge blew off top of accumulator
blockage,Observation,Plugged / choked,oil cooler blockage
blockage?,Observation,Plugged / choked,oil cooler blockage?
blocked,Observation,Plugged / choked,blocked res flush line to c felua   drive end cooling water line blocked   aqua to pump blocked   possible blocked or blown hose   parafin oil sprays blocked.   blocked strainer requires cleaning   cub wld pump seal water blocked   condensate return to st 3493 blocked   line from sump pump to 30 tank blocked   discharge line blocked   clear blocked discharge line   sce nde cooling water line blocked   discharge line blocked to 18 thk   investigate blocked discharge   blocked discahrge   res flush line blocked   pump blocked with solids   blocked strainer req cleanining   discharge to cyclones blocked   condi lines on head are blocked   clear blocked valves & install gauge   blocked return line on mx larox   west top ball chamber blocked   clear blocked discharge lines 15.01.2013   three way discharge valve / pipe blocked   water to the box is blocked   blocked meter valve   flushing point blocked   blocked / broken flow metre   inline strainer blocked   haz header pipe work blocked   pump blocked   osr piping msd discharge pipework blocked   float blocked   west chamber on blocked   discharge line to adjustment blocked   blocked west nrvs   strainer blocked   discharge spool blocked   flow meter on pump blocked   oil cooler flush point blocked   feluwa blocked with product   oil cooler blocked sce   east chamber blocked   cub pump blocked strainer
blocked-seized,Observation,Plugged / choked,pump blocked-seized.
blocking,Observation,Plugged / choked,inlet strainer blocking
blow,Observation,Minor in-service problems,blow breadle hose
blow out,Observation,Minor in-service problems,north east seal blow out
blowen,Observation,Minor in-service problems,haz - blowen seal line   blowen bredal hose pump   blowen bredal hose   blowen a bredal hose   blowen bredal
blowin,Observation,Minor in-service problems,pump blowin discharge line
blowing,Observation,Minor in-service problems,hole in bag blowing floc around shed
blown,Observation,Minor in-service problems,"replace blown bredal hose   repalce blown hose   $ mechanical seal has blown and needs   blown bredel tube   suction hose blown   haz - blown gasket on lmu line to claves   blown bredal   has blown hose   blown hose   discharge garflex coupling blown   bredsel hose blown   blown bredal tube   blown bredel   pump hose blown   blown bredel hose on   b feluwa garflex coupling blown   replace blown belts   blown west lower non return valve   holes blown in suction motor   replace blown garflex coupling   tube blown   blown bredle hose   hose has blown   bredal blown   investigate blown hose   replace blown hose.   blown garflex   blown breedle hose   blown hose tripping on oil contamination   change blown breedle hose   pump getting jammed possible blown hose   has a blown hose   replace blown hose   blown breadel hose   gasket blown on volute   bredell hose blown   bredel hose blown   change out blown bredle hose   bredel pump hose blown   common dicharge armored hose blown   blown breadle hose   blown bredel hose   blown tube, leak to gearbox   suspect diaphragms blown   blown fuses in vsd   blown bredell hose   bredel hose is blown   blown bredel hose, needs replacing   bredel hose blown on pump   blown ftu bredel hose   c feluwa ne chamber blown diaphram   replace blown breedle hose   blown breedel hose   blown tube   haz gasket has blown on top flange   blown bredel hose on pump   replace blown garflex   blown bredel hose.   blown hose sw chamber b feluwa   suspected blown breedle 'sausage'   blown hose and diaphragm   blown bredal hose pump   bredal hose blown   blown breedle   possible blocked or blown hose   blown expansion hose on discharge   pump suspect blown diaphragm   garflex on pump blown   seal on strainer blown   blown seal on rinse pump   blown hose pump   blown suction gasket   centrifuge feed blown breedle hose   6b bredal hose blown   replace blown hose pump   c feluwa ne chamber hose blown   gland water hose blown on transfer pump   etu blown bredel hose   header line gasket blown   32g 5b has blown breedle   blown inner hose on pump   replace blown bredel   lower east side chamber gasket blown   supsected blown hose and leaking door   wash underflow blown hose   blown bredel hose needs replacing   res pump blown coupling   fuse blown in vsd   blown breedle tube   replace blown bredel hose   repair blown armoured suction hose   blown gasket on lower western ball valve   - blown bredel hose   repair blown diaphram north side   103 blown mechanical seal   blown hose on pump   blown breedle needs replacing   blown gasket west btm valve on top   bredel hose blown pump   bredel hose blown etu pump   underflow pump hose blown   change blown hose   blown mining hose - discharge   hose blown   change out blown hose   replace blown bredle hose   $ fuse blown on felewa   pump tube blown   breedle hose blown   blown breedle hose +   c feluwa booster blown gasket   suspect blown west hose pump   blown hose sw chamber   blown bredal hose   seal has blown   gland seal blown   blown flexi hose   blown hose 51d   breedle has blown and needs replacing   a feluwa blown s/w hose"
blown out,Observation,Minor in-service problems,garflex on discharge blown out. replace   garflex blown out   haz - mechanical seal blown out   small straughman sample valve blown out   mill 2 discharge pump line blown out   se chamber blown out oil   air line blown out   seal blown out pump smoking   vgs bottoms pump gland blown out   gland blown out   haz-rear seal blown out   tyre couping blown out   seal blown out pump   $ haz pump gland blown out   cub haz - proc water line blown out   haz - process water line blown out
blown out at,Observation,Minor in-service problems,pump has blown out at the top
"blown,",Observation,Minor in-service problems,"briedel hose blown, needs replacing"
blue,Observation,Other,blue ph light/earthing repairs pump   rep blue phas and run light
bogged,Observation,Plugged / choked,recirc pump bogged   bogged   plf feed pump pump bogged   pump blk sump bogged   pump bogged in impella   pump jammed / bogged. trips out   pump is bogged   pump bogged   2a discharge to 18thk bogged   impellor bogged   pump is bogged and wont start
bogged),Observation,Plugged / choked,jdi pump not starting (not bogged)
bogged/,Observation,Plugged / choked,pump bogged/ seized
boil out,Observation,Overheating,elec svce motor bc boil out
bolt,Observation,Not an observation,cm-d2g2a- high vib- hold down bolts   replace worn/ corroded bolts   pump. fit broken bolt to coupling
boltbound,Observation,Not an observation,realign motor which is boltbound
bore line,Observation,Not an observation,valve handles bore line
bore tripping,Observation,Electrical,dpr bore tripping.
both pass,Observation,Not an observation,disch valve and drain valve both pass
braided,Observation,Not an observation,steel braided line attached to seal u/s   pump braided hose leaking badly   replace straughman braided hose fitting
bredal,Observation,Not an observation,$blown bredal hose
brittle,Observation,Structural deficiency,haz fan cowling brittle
broke,Observation,Breakdown,emergencey stop button broke   coupling is broke   dump line from amsul at pump weld broke
broke away,Observation,Breakdown,suction acc airline broke away
broken,Observation,Breakdown,"belts broken   rv pipe work broken   gearbox on suction valve broken piping   jdi replace broken permalube   knr-nrb12a broken head works on pump   broken belts   haz drain spool broken   change strahman vlv broken handle   pump shaft may be broken   discharge line broken.   air regulator has broken glass bowl   bpr repair static broken static earths   discharge se acc broken air line   gauge broken   crosshead cover broken   suction vlave sce handle broken   blocked / broken flow metre   broken drive belts   replace broken pressure guage   $ motor coupling broken   replace broken drive belts   replace broken lube pipe nde   discharge line broken from flange   repair broken air line to suction acumul   handle broken on res b/v   hold down bolt broken   discharge valve stiff & handle broken   replace broken spool piece   scaffold around broken valve   dc sce isolation module broken   remove broken n/w volute hold down bolt   pump suction valve gearbox broken   cub pump selector switch broken   jdi pump discharge gauge broken.   37g 720b callibration pot broken   sample point broken   c feluwa air line broken   north suction pipe support broken   haz stop button broken   wld broken bracket on discharge line   gearbox speed adjustment broken   suction spool gauge broken   jdi haz e stop on sump pump broken   fan cowl broken needs replacing pump   drive coupling broken   south rod seal holder bolt broken   $ replace broken nde mech seal   ro sump broken mounting   motor base adjuster broken   process flushing valve broken   pump foot broken   pump sd handle broken   gearbox broken   suction gear box broken.   suction gauge broken   haz stop start switch broken   $ pump seal water flow tube broken   re connect broken pipe pump   motor adjuster bolt broken   te haz motor fan cover broken   haz - static earth broken on pump   coupling broken   repair broken handles for mcc's   investigate oxy res flush valve broken w   coupling broken replace   oil sight glass broken   sce broken guard studs   broken 1"" line leaking seal water   b feluwa booster seal flow meter broken   air to suction accumulateor broken   valve piping has broken stem drive   $$ pump shaft broken   sce mcc isolator handle broken (   south discharge pipe support broken   nd press gauge broken   valve gearbox broken   dc 21-g1b fan has broken replacement r   bolts holding hose broken   broken leakage valve on b feluwa   haz broken handrail   hazard junction box broken.   emergency stop button broken   haz field isolator front cover broken   cm-replace broken sight glass pump   broken valve/guage & fittings on   pump broken motor bolts   event coupling broken   seal water fitting broken   pipe support broken   pump shaft broken   keystome valve gear box broken.   pump broken mounting bolt   presssure gauge broken b feluwa   delete replace broken threaded u bolt n   wldinspection cover x 2 ) bolts broken.   broken drain valve stem   south discharge repair broken pipe clamp   old line valve has broken stem from 7a   cub valve body assembly broken   loose pulley - belts broken pump   repair broken stud in plinth   v belts broken.   scope haz wld belt guard broken   $$ delete replace broken plastic suction   stop button broken pump tripping   repair static earth electrode broken   repair broken stop station   v belts broken   broken stud- pump base   dis accumulator gauge broken   straughman drain broken   repair broken oil spout   haz broken mcc main switch handle.   broken permalube   nth west chamber leakage bolt broken   drain valve broken   earthing cable broken   broken gland water fitting   $$ broken valve handles on nrb 14 line   pump overflow pipe broken"
broken electrical,Observation,Breakdown,inst air line broken electrical
broken into,Observation,Breakdown,haz - switch board broken into
broken loose,Observation,Breakdown,replave v belts / broken loose
broken near,Observation,Breakdown,pipe suport broken near
broken off,Observation,Breakdown,haz - static earth broken off   nde perma lube extension broken off
broken/missing,Observation,Breakdown,dump valve handle broken/missing
buggered,Observation,Other,vsd buggered   coupling buggered.
built,Observation,Not an observation,strip scaffold built for the april cub 2
burn,Observation,Overheating,tri - burn to forehead
burnt,Observation,Overheating,black sump burnt belts   burnt contactors please replace
burnt off,Observation,Overheating,vee belts burnt off   v belts are burnt off needs replacing   belts burnt off
burnt out,Observation,Overheating,burnt out belts motor
burst,Observation,Breakdown,replace burst breedle hose   burst tube   hose burst   suction coupling burst   bredel hose burst   diaphram burst   versicol pump burst hose   burst diaphragm (south chambers)   burst breedle hose   burst bag north chambers   hose has burst   tube burst   replace burst hose   burst bredel hose   piping garflex burst
burst again,Observation,Breakdown,sce pressure switch burst again
bypass,Observation,Not an observation,bc suction valve g/box rusted & bypass.
bypassing,Observation,Not an observation,compressor bypassing
c/s nrv,Observation,Not an observation,haz c/s nrv in stainless line
can'treset,Observation,Failure to start on demand,"can'treset in substation, switch issue"
cannot run in,Observation,Failure to start on demand,pump cannot run in remote
cannot start,Observation,Failure to start on demand,please inspect cannot start
cant be adjusted,Observation,Other,2210a pump stroke cant be adjusted
caught in suction,Observation,Minor in-service problems,debri caught in suction of pump
caustic,Observation,Not an observation,repair caustic bund drain pipe
cavitating,Observation,Erratic output,pump cavitating
change,Observation,Not an observation,oil change in gearbox
changing,Observation,Not an observation,$ pump pump. garflex needs changing.
clean,Observation,Not an observation,strainer clean   $$ feb 2014 water supply line clean   sce strainer clean   conductivity meter clean   52w prod pit clean   strainer clean required.
clean out,Observation,Not an observation,sce both coolers clean out
cleaning,Observation,Not an observation,maint: bfw strainer needs cleaning
cleanining,Observation,Not an observation,blocked strainer req cleanining
clear,Observation,Not an observation,break lines and clear blockage.   cub clear water lines   clear blockage at flowmeter.   break flange & clear discharge line
colapsed,Observation,Breakdown,haz wld.15g-3c mcwt pump floor colapsed   bearing colapsed on pump camlobe.
cold,Observation,Other,cold spot on pump discharge
collapsed,Observation,Breakdown,bearings collapsed
come adrift,Observation,Minor in-service problems,bearing seal on pump has come adrift
come free of,Observation,Minor in-service problems,belt pulley has come free of motor
come loose,Observation,Minor in-service problems,oil drain line come loose needs fixing
come off,Observation,Minor in-service problems,belts come off   belts have come off pump drive   belts have come off pump   drive belts come off   env gland water line come off pump   belts thave come off   belts come off pump   drive belts have come off   belts have come off
coming,Observation,Not an observation,solution coming from centre of vlv pump   seal leaking glycerol coming
coming adrift,Observation,Minor in-service problems,pulley coming adrift
coming out,Observation,Minor in-service problems,water coming out of permalube   res coming out of pump seal   glycol coming out breather
congested,Observation,Plugged / choked,congested suction lines c feluwa
constantly losing,Observation,Other,constantly losing oil please check why 5
constantly tripping,Observation,Electrical,constantly tripping on high amps
consumeing,Observation,Other,consumeing oil and not pumping
cont,Observation,Not an observation,replace oil cont probe plug   water cont & burst hose alarm   feluwa tripping oil cont
contaimination,Observation,Contamination,oil contaimination
contaminated,Observation,Contamination,pump oil contaminated   oil contaminated   cm-change contaminated oil pump
contaminating condensate,Observation,Contamination,glandwater contaminating condensate
contamination,Observation,Contamination,pump contamination probes in alarm   locked out on oil contamination   pump oil contamination alarm   tripping on oil contamination   tripping oil contamination   oil contamination   nth chambers oil contamination   sce oil contamination in pump   cm change oil due to contamination   pump tripping on oil contamination
contamination trip,Observation,Contamination,oil contamination trips   oil contamination trip   a feluwa oil contamination trip
"contamination,",Observation,Contamination,"oil contamination, repair required"
continually tripping,Observation,Electrical,pump continually tripping
continually trips out,Observation,Electrical,pump continually trips out
controlling ph,Observation,Not an observation,$pump not controlling ph
coroded,Observation,Structural deficiency,welder to repair fan guard coroded
corre,Observation,Not an observation,starting when line pressure corre
correct operation,Observation,Not an observation,check pc valve for correct operation   rsh confirm correct operation vsd on 2
"correctly ,flow",Observation,Not an observation,"v/vs not opening correctly ,flow restric"
corroded,Observation,Structural deficiency,"corroded pipe work   earth stud on motor corroded   replace corroded fan guard   cub replace corroded pump   replace badly corroded motor   dc pump corroded motor guard   haz repair badly corroded fan cover,   repair corroded fan cowling on motor   cub replace corroded motor   gr replace corroded motor pump   scope sump gratings support corroded nor   haz motor fan guard corroded pump   replace pump badly corroded   dc haz motor fan cover corroded   dc motor fan guard corroded fan expose   haz motor fan cowl corroded   pump body corroded   scope badly corroded base   wld sump pump frame corroded   replace corroded motor & align   haz discharge pipeline suport corroded   badly corroded valve pump pump   repair corroded swa   pump replace corroded motor   replace corroded motor   cub motor corroded base cracked   corroded pump   jdi haz - corroded fan cover - motor   haz - motor fan cowling corroded.   replace corroded pump   replace pump - badly corroded   jdi haz fan cowling corroded   pulley guard corroded on base   38t flange corroded res to recirc   dc haz corroded motor fan cover motor   heavy corroded pump   replace corroded motor - pump   replace pump stuffing box corroded   replace corroded rotating element   change out corroded pump pump   base corroded sump pump prt   haz corroded cable tray support   haz-fan guard corroded pump   piping pipe corroded   pump corroded badly   ha replace motor corroded   pipework is very corroded.   jdi sce suction drain corroded u/s   haz motor fan exposed guard corroded   change out corroded pump   statr replace corroded pump base   replace pump corroded   one of the satic earth leads corroded an   replace corroded cwr pipe 3   replace corroded motor pump   pump discharge vv handle corroded"
corroded ..close out,Observation,Structural deficiency,fan cover corroded ..close out..
"corroded,",Observation,Structural deficiency,"fan cowl corroded, now has large hol"
corroded/stripped,Observation,Structural deficiency,haz corroded/stripped lift point threads
corroding,Observation,Structural deficiency,pump. leak corroding pump.
corrosion,Observation,Structural deficiency,changeout motor corrosion   statrp pa dg store 34 external corrosion   jdi cable tray structure corrosion   $$ sce clean and paint support corrosion
corrosion on,Observation,Structural deficiency,pump. heavy corrosion on unit.
couldn't get a,Observation,Not an observation,couldn't get a reset on pump
coupling,Observation,Not an observation,remove/replaice failing garflex coupling   pump. requires coupling fastener
covered,Observation,Minor in-service problems,pump covered in hard product
cowel,Observation,Not an observation,"pump. motor rusty, cowel holed"
cowling,Observation,Not an observation,dc fan cowling heavily rusted motor   haz hole in motor fan cowling
cowling large,Observation,Not an observation,haz motor cowling large hole in it motor
crack,Observation,Structural deficiency,wld weld crack /patch dump line   $$ pump suction manifold crack   crack in transition south   crack in north accumalator.
crack in transition,Observation,Structural deficiency,crack in transition
cracked,Observation,Structural deficiency,weld cracked coupling guard   discharge pipe cracking around outet   haz recirc sample point weld cracked   south accumulator cracked pump   discharge pipe cracked   $$ repair cracked discharge pipe   cub wld suctdrain spool cracked weld   north suction accumeulator cracked   3 cracked site glasses on a feluwa   cub pump cracked discharge line   jdi cracked pressure gauge   electrical replace cracked local isol lid   discharge pipe work cracked below flange   cracked belts   change out cracked tyre coupling   cracks on pressing water spool   pump replace cracked belts   belt guard is cracked   discharge spool weld cracked   cracked discharge line   cracked drain spool piece   replace cracked belts on sump pump   suction accumulator cracked   weld cracked on south suction spool   cracks in sump floor & wall   spool cracked and spraying out   wld cracked acc suction pipework   bypass line cracked   repair cracked west suction pipework   haz - weld on suction line cracked   drain valve spool cracked at weld   haz strahman valve cracked pump   pump cracked pipework   suction line repair weld cracked   replace cracked hose support bracket   disharge pvc fitting cracked   $$ discharge pipe has a cracked fla   wld scope pump suction spool cracked.   pump drive belts cracked   cub motor corroded base cracked
"cracked,corroded",Observation,Structural deficiency,"haz mining hose cracked,corroded"
cracked/,Observation,Structural deficiency,wld ss discharge pipe cracked/ leaking
craked,Observation,Structural deficiency,"haz- hot liquuor spraying, craked line"
critical,Observation,Not an observation,critical change out pump   cm critical replace motor and align coup   cm critical realign pump
cutting in and out,Observation,Erratic output,pump cutting in and out of high speed
damage,Observation,Structural deficiency,repair damage lid on bore compound   clean out and assess damage   cm-check pump internals for damage   heat damage to cable - sce
damage/blockage,Observation,Structural deficiency,check for damage/blockage. wet inspect
damaged,Observation,Structural deficiency,"replace damaged oil sight glass   replace damaged coupling   38t ro sd replace damaged c/b   pump replace damaged contactor   damaged hose, corroded wet end   replace damaged pump motor   damaged lining in pump david   sump pump wet end damaged   gland packing damaged   seal water flow meter damaged   damaged discharge spool   mill pump damaged seal   mech seal damaged / leaking   change damaged strainer   garflex coupling damaged   haz stop button damaged electrical   haz - motor fan cover damaged pump   replace pump damaged by leak   damaged suction pipe   pump base damaged   repair heat damaged cables   mechanical seal damaged   sce drain damaged (bent)   drain valve damaged   discharge garflex damaged   contamination probe damaged cable   suspected damaged impeller   drive belts on damaged   drive belts damaged   electrical isolator damaged   damaged contamination probe cable   manifold flange is damaged and holed   mech seal damaged   $ damaged seal   mill haz drive belt view panel damaged   level probe damaged   $$ dc 34 ft ewp replace damaged earth   replace damaged sump level probes   damaged seal   haz damaged guard on   motor guarding damaged   scope electrical control breaker damaged   mill shut day mcc switch damaged   replace damaged strainer"
"damaged,",Observation,Structural deficiency,"strainer damaged, needs replacing"
danger,Observation,Not an observation,pos danger when checking drains
de,Observation,Not an observation,effluent motor de bearing fault
de close,Observation,Not an observation,cm-motor de close to failure-change moto
de-scale,Observation,Not an observation,$m8 pump requires de-scale
defect,Observation,Structural deficiency,ha - pump defect repairs   needs scope to rectify defects   dc rectify ha defects on clave versico   cub ham em pump ha defects
defect notice,Observation,Structural deficiency,dmirs defect notice - bc earthing
deformed,Observation,Structural deficiency,replace deformed garflex   cub pipework is deformed
degraded,Observation,Structural deficiency,concrete pump base degraded 3g 13 413   pump base concrete degraded   pump remove degraded lagging
dented,Observation,Structural deficiency,po replace dented pipewrk & vl
descale,Observation,Not an observation,sce- sce requires descale
descrepancy,Observation,Not an observation,c feluwa flow / vortex descrepancy
detached,Observation,Minor in-service problems,pump detached discharge pipe
detaching,Observation,Minor in-service problems,north piston rod detaching
didnt trip,Observation,Electrical,pump rcd didnt trip   haz pump earth leakage didnt trip
died,Observation,Breakdown,sala pump motor died   feluwa booster vsd died.
dirty,Observation,Minor in-service problems,indiirect cm-change out oil sce dirty   ind cm-change out dirty oil in sce   pump dirty hydraulic oil   cub ind replace dirty oil in   cm-change dirty oil pump   cm-change out dirty oil.   cm-change dirty gearbox oil   pump glycol dirty in sight tube.   change out dirty oil pump   cub ind cm-change out dirty oil in sce   cm-change dirty oil & check for pump ingr   replace dirty hydraulic oil pump   cm-change out dirty oil in sce   hyd oil dirty   cu boil cm-caution-change out dirty oil   pump dirty oil in gear box   close-m8 cub change out dirty oil pump   cm-change out dirty oil pump   cm-change out dirty oil in pump   cm change out dirty oil   als report - dirty gearbox oil   cm-change out dirty oil. pump   cm-a2g-20b change dirty oil   cm-change dirty gearbox oil pump   cm-change out dirty oil sce   cm-abnornal-change dirty gearbox oil   cm-abnormal-change dirty oil 21.01.2013
discharge,Observation,Not an observation,"jdi 1"" valve passing, discharge line   scope leak on c felewa booster discharge"
disconnected,Observation,Breakdown,pump disconnected from coupling - u/s
dislodged,Observation,Minor in-service problems,pump and motor dislodged   repack pump-gland has dislodged
does don't pump at,Observation,Plugged / choked,$ pump does don't pump at all
does not stop,Observation,Failure to stop on demand,does not stop when nf comes offli
does not trip,Observation,Electrical,earth leakage does not trip
does not work,Observation,Breakdown,level balls does not work sump
doesn't pump to,Observation,Plugged / choked,pump doesn't pump to
doesn't work,Observation,Breakdown,emergency button doesn't work
doesnt operate,Observation,Breakdown,sump pump doesnt operate in remote
doesnt trip,Observation,Electrical,haz electrical earth leakage doesnt trip
done,Observation,Not an observation,has done a bredal hose   done a bedal hose
dont activate,Observation,Failure to start on demand,jdi probes dont activate pump
down,Observation,Not an observation,"no power, power poles burnt down   haz- cables hanging down"
down to earth,Observation,Electrical,motor motor down to earth   motor down to earth and needs replacemen   motor down to earth
dragged,Observation,Minor in-service problems,bredel hose dragged into pump
drive,Observation,Not an observation,pump. replace snapped drive belt   22g--8a tripping on drive failure   $$failed drive wheel inside wet end of p
dropped,Observation,Minor in-service problems,dropped belts   dropped drive belts
earth fault,Observation,Electrical,haz - pump motor earth fault
earthing,Observation,Electrical,earthing repair on sump pump   pump earthing repairs amsul   dmirs defect notice - bc earthing   fix earthing
east,Observation,Not an observation,$failed east side chamber on pump
effecting,Observation,Not an observation,gear box effecting south chambers
ejected,Observation,Minor in-service problems,packing has been ejected from gland
elevated,Observation,Not an observation,elevated temp on o/l motor ats   cm elevated temp on o/l and contactor
emulsified,Observation,Other,cm-gearbox oil is emulsified pump
env-holed,Observation,Not an observation,env-holed acid line at wtp
erratic,Observation,Erratic output,bc elute instru erratic   check flow indication as read is erratic
erroded,Observation,Structural deficiency,haz pump erroded
exceed,Observation,Not an observation,earth continuity exceeds 0.5 ohms
excesively worn,Observation,Structural deficiency,drive pulley excesively worn
excessive,Observation,Not an observation,ind excessive water leaking from seal   excessive vibration from coupling cover   pipe work excessive vibation
excessive stop/start,Observation,Erratic output,haz sump pump excessive stop/start
expansion,Observation,Not an observation,may cub leak/hole on expansion spool pie
exposed,Observation,Minor in-service problems,haz motor fan exposed guard corroded   ha swa exposed on power cable   diesel fire pump airfilter exposed   haz motor fan blades exposed
f,Observation,Not an observation,$$strip and inspect pump pump fault f
fail,Observation,Breakdown,motor mech seal fail   mech seal fail - water pump   vsd fail   jdi electrical drive fail
fail again,Observation,Breakdown,versicol pump diaphram fail again
fail to start,Observation,Failure to start on demand,fire pump fail to start
failed,Observation,Breakdown,cub pump retest failed a   $ failed retest   gasket has failed   drive coupling failed due to blockage   belts failed require replacing   ph probe failed   $ felluwa motor has failed to ea   pump failed psv retest   te sd mech seal failed   med aqua valve failed   change pump as liner has failed   haz dil sol ball valve failed   discharge line failed   replace failed volute gasket   neut pit pump failed   env discharge line failed at polly joint   seal failed   pump seal failed   $ sce mech seal failed   sce failed seal - upgrade   pump has failed   drive failed pump   inlet pressure gauge failed   motor contacts failed   coupling on pump has failed   replace failed mech seal   failed knife gate seals   failed psv retest   gland has failed gland follower   $ mechanical seal failed on nuci pump   $ pump failed   failed spider coupling insert   $ mech seal failed   $ mechanical seal failed   north chamber diaphragm failed   vsd failed on new vsd required   pump discharge valve failed ec 3 recover   discharge spool on piping failed   $ pump has failed and is noyt pumping   failed drive coupling   motor coupling to pump failed   failed mech. seal   saunders valve for 95 pump failed   mech seal has failed - replace please   statr failed pump re-test   pressing water pump mech seal failed   gland packing failed   cet 4 failed on electrical   b feluwa south west chamber failed   gland failed   replace failed garflex on c feluwa   retest failed   drive coupling failed   mechanical seal failed   motor failed dte   replace belts have failed.   failed mech seal pump   coupling failed   haz 800 kpa guage failed 8000 needed   barrel sounds like bearings failed   sce mech seal failed   failed psv retest osr pump   $$ pump failed need to be replaced   sce change out failed seal   replace pump seal failed   cub statr failed retest   bredel hose failed   pump has failed & is tripping in the sub   mech seal failed   $ replace failed seal
failed electrical,Observation,Electrical,vsd failed electrical
failed internaly,Observation,Breakdown,haz-discharge valve has failed internaly
failed restest,Observation,Failure to start on demand,statr failed restest
failing,Observation,Breakdown,pump failing to produce efficient output
failing to open fully,Observation,Other,failing to open fully
failing to start,Observation,Failure to start on demand,pump failing to start
fails to open in sequence,Observation,Other,valve fails to open in sequence
